Date Time Value
20160101 0000 13.6
20160101 0005 14.0
20160101 0010 13.8
20160101 0015 13.7
20160101 0020 13.6
20160101 0025 13.5
20160101 0030 13.4
20160101 0035 13.3
20160101 0040 13.2
20160101 0045 13.1
20160101 0050 13.0
20160101 0055 12.9
20160101 0100 12.8
20160101 0105 12.8
20160101 0110 12.7
20160101 0115 12.5
20160101 0120 12.5
20160101 0125 12.3
20160101 0130 12.4
20160101 0135 12.3
20160101 0140 12.4
20160101 0145 12.1
20160101 0150 12.0
20160101 0155 12.1
20160101 0200 11.6
20160101 0205 11.6
20160101 0210 11.3
20160101 0215 11.1
20160101 0220 11.1
20160101 0225 11.1
20160101 0230 11.0
20160101 0235 11.0
20160101 0240 10.6
20160101 0245 10.7
20160101 0250 10.6
20160101 0255 10.3
20160101 0300 10.4
20160101 0305 10.3
20160101 0310 10.0
20160101 0315 10.1
20160101 0320 8.7
20160101 0325 8.2
20160101 0330 7.7
20160101 0335 7.6
20160101 0340 6.6
20160101 0345 6.0
20160101 0350 6.1
20160101 0355 5.6
20160101 0400 6.1
20160101 0405 5.5
20160101 0410 5.8
20160101 0415 5.1
20160101 0420 5.8
20160101 0425 5.4
20160101 0430 4.5
20160101 0435 5.1
20160101 0440 4.8
20160101 0445 4.1
20160101 0450 3.3
20160101 0455 3.9
20160101 0500 4.5
20160101 0505 4.6
20160101 0510 5.0
20160101 0515 4.9
20160101 0520 4.8
20160101 0525 4.7
20160101 0530 4.3
20160101 0535 4.1
20160101 0540 4.3
20160101 0545 3.9
20160101 0550 2.9
20160101 0555 3.9
20160101 0600 3.4
20160101 0605 3.9
20160101 0610 4.4
20160101 0615 4.8
20160101 0620 4.0
20160101 0625 3.2
20160101 0630 3.1
20160101 0635 1.7
20160101 0640 2.9
20160101 0645 3.0
20160101 0650 3.4
20160101 0655 2.2
20160101 0700 1.4
20160101 0705 1.6
20160101 0710 2.0
20160101 0715 2.5
20160101 0720 2.8
20160101 0725 3.0
20160101 0730 3.8
20160101 0735 3.5
20160101 0740 3.7
20160101 0745 3.9
20160101 0750 4.0
20160101 0755 3.8
20160101 0800 3.8
20160101 0805 2.5
20160101 0810 2.4
20160101 0815 1.9
20160101 0820 2.8
20160101 0825 3.1
20160101 0830 2.0
20160101 0835 3.2
20160101 0840 3.6
20160101 0845 3.4
20160101 0850 2.3
20160101 0855 2.5
20160101 0900 2.8
20160101 0905 3.0
20160101 0910 2.8
20160101 0915 2.7
20160101 0920 3.1
20160101 0925 2.9
20160101 0930 2.8
20160101 0935 3.2
20160101 0940 3.4
20160101 0945 2.4
20160101 0950 2.3
20160101 0955 2.6
20160101 1000 2.7
20160101 1005 2.4
20160101 1010 2.2
20160101 1015 2.5
20160101 1020 2.6
20160101 1025 2.1
20160101 1030 3.1
20160101 1035 3.3
20160101 1040 3.0
20160101 1045 2.6
20160101 1050 2.9
20160101 1055 1.7
20160101 1100 1.8
20160101 1105 2.6
20160101 1110 2.2
20160101 1115 1.5
20160101 1120 1.6
20160101 1125 1.6
20160101 1130 2.7
20160101 1135 3.5
20160101 1140 2.2
20160101 1145 1.6
20160101 1150 2.6
20160101 1155 2.3
20160101 1200 2.6
20160101 1205 2.5
20160101 1210 1.8
20160101 1215 0.8
20160101 1220 0.7
20160101 1225 2.2
20160101 1230 2.9
20160101 1235 1.1
20160101 1240 1.8
20160101 1245 2.6
20160101 1250 2.2
20160101 1255 2.5
20160101 1300 2.1
20160101 1305 2.2
20160101 1310 2.5
20160101 1315 3.0
20160101 1320 2.8
20160101 1325 2.0
20160101 1330 1.3
20160101 1335 1.7
20160101 1340 1.6
20160101 1345 1.6
20160101 1350 2.3
20160101 1355 2.9
20160101 1400 2.9
20160101 1405 1.1
20160101 1410 1.2
20160101 1415 1.6
